id;depart;type;speedFactor;duration;waitingTime;timeLoss;traveltime;walk_depart;departPos;arrival;arrivalPos;walk_duration;routeLength;walk_timeLoss;maxSpeed;walk_waitingTime
pf_PedEnd.Minor.540.N_end.E_sidewalk__Node.Main.740.N__seg1__0.0;2436.00;DEFAULT_PEDTYPE;1.15;259.00;0.00;26.25;259.00;2436.00;0.10;2695.00;112.00;259.00;372.92;26.25;1.60;0.00
pf_PedEnd.Main.E_end.S_sidewalk__PedEnd.Minor.540.S_end.E_sidewalk__seg1__0.0;2403.00;DEFAULT_PEDTYPE;1.01;295.00;0.00;28.43;295.00;2403.00;0.10;2698.00;177.70;295.00;373.31;28.43;1.40;0.00
pf_PedEnd.Minor.200.S_end.W_sidewalk__Node.Main.0.S__seg1__0.0;2404.00;DEFAULT_PEDTYPE;1.00;297.00;0.00;29.06;297.00;2404.00;0.10;2701.00;112.00;297.00;372.92;29.06;1.39;0.00
pf_PedEnd.Minor.540.N_end.E_sidewalk__Node.Main.740.N__seg1__0.1;2436.00;DEFAULT_PEDTYPE;1.08;277.00;0.00;29.12;277.00;2436.00;0.10;2713.00;112.00;277.00;372.92;29.12;1.50;0.00
pf_PedEnd.Minor.540.S_end.E_sidewalk__Node.Main.740.S__seg1__0.1;2432.00;DEFAULT_PEDTYPE;1.08;285.00;0.00;36.38;285.00;2432.00;177.70;2717.00;0.10;285.00;373.31;36.38;1.50;0.00
pf_PedEnd.Minor.540.S_end.E_sidewalk__Node.Main.740.S__seg1__0.0;2428.00;DEFAULT_PEDTYPE;0.99;301.00;0.00;29.26;301.00;2428.00;177.70;2729.00;0.10;301.00;373.31;29.26;1.37;0.00
pf_PedEnd.Minor.540.S_end.E_sidewalk__Node.Main.740.S__seg1__0.2;2446.00;DEFAULT_PEDTYPE;1.07;284.00;0.00;32.19;284.00;2446.00;177.70;2730.00;0.10;284.00;373.31;32.19;1.48;0.00
pf_PedEnd.Minor.200.N_end.W_sidewalk__Node.Main.0.N__seg1__0.0;2404.00;DEFAULT_PEDTYPE;0.91;327.00;0.00;32.99;327.00;2404.00;177.70;2731.00;0.10;327.00;373.31;32.99;1.27;0.00
pf_PedEnd.Minor.200.N_end.W_sidewalk__Node.Main.0.N__seg1__0.2;2452.00;DEFAULT_PEDTYPE;1.04;291.00;0.00;33.00;291.00;2452.00;177.70;2743.00;0.10;291.00;373.31;33.00;1.45;0.00
pf_PedEnd.Main.E_end.S_sidewalk__PedEnd.Minor.540.S_end.E_sidewalk__seg1__0.1;2460.00;DEFAULT_PEDTYPE;1.05;286.00;0.00;29.70;286.00;2460.00;0.10;2746.00;177.70;286.00;373.31;29.70;1.46;0.00
pf_PedEnd.Minor.200.N_end.E_sidewalk__Node.Main.0.N__seg1__0.1;2432.00;DEFAULT_PEDTYPE;1.14;317.00;36.00;68.90;317.00;2432.00;0.10;2749.00;0.10;317.00;391.66;68.90;1.58;36.00
pf_PedEnd.Minor.460.S_end.W_sidewalk__PedEnd.Minor.400.S_end.W_sidewalk__seg1__0.0;2449.00;DEFAULT_PEDTYPE;1.17;302.00;0.00;37.97;302.00;2449.00;0.10;2751.00;0.10;302.00;428.86;37.97;1.62;0.00
pf_PedEnd.Main.W_end.N_sidewalk__PedEnd.Minor.200.N_end.W_sidewalk__seg1__0.0;2431.00;DEFAULT_PEDTYPE;0.99;321.00;0.00;49.15;321.00;2431.00;0.10;2752.00;177.70;321.00;373.31;49.15;1.37;0.00
pf_PedEnd.Minor.540.N_end.E_sidewalk__Node.Main.740.N__seg1__0.2;2472.00;DEFAULT_PEDTYPE;1.05;283.00;0.00;27.16;283.00;2472.00;0.10;2755.00;112.00;283.00;372.92;27.16;1.46;0.00
pf_PedEnd.Minor.200.N_end.E_sidewalk__Node.Main.0.N__seg1__0.0;2414.00;DEFAULT_PEDTYPE;1.10;342.00;55.00;85.62;342.00;2414.00;0.10;2756.00;0.10;342.00;391.66;85.62;1.53;55.00
pf_PedEnd.Minor.200.N_end.W_sidewalk__Node.Main.0.N__seg1__0.1;2420.00;DEFAULT_PEDTYPE;0.88;338.00;0.00;34.26;338.00;2420.00;177.70;2758.00;0.10;338.00;373.31;34.26;1.23;0.00
pf_PedEnd.Minor.200.S_end.E_sidewalk__Node.Main.0.S__seg1__0.0;2411.00;DEFAULT_PEDTYPE;1.01;355.00;44.00;75.83;355.00;2411.00;177.70;2766.00;112.00;355.00;391.66;75.83;1.40;44.00
pf_PedEnd.Minor.540.S_end.W_sidewalk__Node.Main.740.S__seg1__0.0;2425.00;DEFAULT_PEDTYPE;1.01;341.00;30.00;62.68;341.00;2425.00;0.10;2766.00;0.10;341.00;391.66;62.68;1.41;30.00
pf_PedEnd.Main.W_end.S_sidewalk__PedEnd.Minor.200.S_end.E_sidewalk__seg1__0.0;2412.00;DEFAULT_PEDTYPE;0.93;355.00;19.00;53.37;355.00;2412.00;112.00;2767.00;177.70;355.00;391.66;53.37;1.30;19.00
pf_PedEnd.Minor.540.S_end.W_sidewalk__Node.Main.740.S__seg1__0.2;2434.00;DEFAULT_PEDTYPE;0.99;336.00;7.00;51.90;336.00;2434.00;0.10;2770.00;0.10;336.00;391.66;51.90;1.38;7.00
pf_PedEnd.Minor.540.N_end.E_sidewalk__Node.Main.740.N__seg1__0.4;2477.00;DEFAULT_PEDTYPE;1.04;297.00;0.00;38.23;297.00;2477.00;0.10;2774.00;112.00;297.00;372.92;38.23;1.44;0.00
pf_PedEnd.Minor.540.N_end.W_sidewalk__Node.Main.740.N__seg1__0.0;2464.00;DEFAULT_PEDTYPE;1.01;312.00;0.00;32.38;312.00;2464.00;177.70;2776.00;112.00;312.00;391.66;32.38;1.40;0.00
