id;depart;departLane;departPos;departSpeed;departDelay;arrival;arrivalLane;arrivalPos;arrivalSpeed;duration;routeLength;waitingTime;waitingCount;stopTime;timeLoss;rerouteNo;devices;vType;speedFactor;vaporized
vf_Node.Main.0.N__Node.Minor.200.S_end__seg0__0.0;1.00;Edge.Main.EB.0-120_3;5.10;16.93;0.92;30.00;Edge.Minor.S_arm.SB.200_2;177.70;16.89;29.00;391.41;0.00;0;0.00;4.35;1;tripinfo_vf_Node.Main.0.N__Node.Minor.200.S_end__seg0__0.0 routing_vf_Node.Main.0.N__Node.Minor.200.S_end__seg0__0.0 fcd_vf_Node.Main.0.N__Node.Minor.200.S_end__seg0__0.0;DEFAULT_VEHTYPE;1.02;
vf_Node.Minor.340.N_end__Node.Main.740.N__seg0__0.0;4.00;Edge.Minor.N_arm.SB.340_1;5.10;16.41;0.03;45.00;Edge.Main.EB.620-740_1;112.00;16.40;41.00;580.57;0.00;0;0.00;3.85;1;tripinfo_vf_Node.Minor.340.N_end__Node.Main.740.N__seg0__0.0 routing_vf_Node.Minor.340.N_end__Node.Main.740.N__seg0__0.0 fcd_vf_Node.Minor.340.N_end__Node.Main.740.N__seg0__0.0;DEFAULT_VEHTYPE;0.98;
vf_Node.Main.740.S__Node.Minor.400.S_end__seg0__0.0;7.00;Edge.Main.WB.740-620_1;5.10;15.90;0.42;46.00;Edge.Minor.S_arm.SB.400_1;180.90;14.86;39.00;520.58;0.00;0;0.00;5.31;1;tripinfo_vf_Node.Main.740.S__Node.Minor.400.S_end__seg0__0.0 routing_vf_Node.Main.740.S__Node.Minor.400.S_end__seg0__0.0 fcd_vf_Node.Main.740.S__Node.Minor.400.S_end__seg0__0.0;DEFAULT_VEHTYPE;0.95;
vf_Node.Minor.460.N_end__Node.Minor.540.S_end__seg0__0.0;8.00;Edge.Minor.N_arm.SB.460_1;5.10;19.48;0.53;47.00;Edge.Minor.S_arm.SB.540_2;177.70;19.20;39.00;453.08;1.00;1;0.00;13.88;1;tripinfo_vf_Node.Minor.460.N_end__Node.Minor.540.S_end__seg0__0.0 routing_vf_Node.Minor.460.N_end__Node.Minor.540.S_end__seg0__0.0 fcd_vf_Node.Minor.460.N_end__Node.Minor.540.S_end__seg0__0.0;DEFAULT_VEHTYPE;1.17;
vf_Node.Main.0.N__Node.Main.740.N__seg0__0.0;10.00;Edge.Main.EB.0-120_1;5.10;18.15;0.33;53.00;Edge.Main.EB.620-740_1;112.00;17.73;43.00;735.89;0.00;0;0.00;1.56;1;tripinfo_vf_Node.Main.0.N__Node.Main.740.N__seg0__0.0 routing_vf_Node.Main.0.N__Node.Main.740.N__seg0__0.0 fcd_vf_Node.Main.0.N__Node.Main.740.N__seg0__0.0;DEFAULT_VEHTYPE;1.09;
vf_Node.Main.740.S__Node.Minor.540.S_end__seg0__0.0;29.00;Edge.Main.WB.740-620_1;5.10;19.91;0.59;54.00;Edge.Minor.S_arm.SB.540_1;177.70;19.13;25.00;373.44;0.00;0;0.00;5.13;1;tripinfo_vf_Node.Main.740.S__Node.Minor.540.S_end__seg0__0.0 routing_vf_Node.Main.740.S__Node.Minor.540.S_end__seg0__0.0 fcd_vf_Node.Main.740.S__Node.Minor.540.S_end__seg0__0.0;DEFAULT_VEHTYPE;1.19;
vf_Node.Main.740.S__Node.Main.0.S__seg0__0.0;5.00;Edge.Main.WB.740-620_1;5.10;15.41;0.32;55.00;Edge.Main.WB.120-0_1;112.00;15.37;50.00;735.89;0.00;0;0.00;2.20;1;tripinfo_vf_Node.Main.740.S__Node.Main.0.S__seg0__0.0 routing_vf_Node.Main.740.S__Node.Main.0.S__seg0__0.0 fcd_vf_Node.Main.740.S__Node.Main.0.S__seg0__0.0;DEFAULT_VEHTYPE;0.92;
vf_Node.Main.0.N__Node.Minor.200.N_end__seg0__0.0;27.00;Edge.Main.EB.0-120_1;5.10;17.93;0.76;55.00;Edge.Minor.N_arm.NB.200_1;177.70;17.91;28.00;373.44;0.00;0;0.00;5.05;1;tripinfo_vf_Node.Main.0.N__Node.Minor.200.N_end__seg0__0.0 routing_vf_Node.Main.0.N__Node.Minor.200.N_end__seg0__0.0 fcd_vf_Node.Main.0.N__Node.Minor.200.N_end__seg0__0.0;DEFAULT_VEHTYPE;1.08;
vf_Node.Main.740.S__Node.Minor.340.S_end__seg0__0.0;18.00;Edge.Main.WB.740-620_1;5.10;18.95;0.67;57.00;Edge.Minor.S_arm.SB.340_1;180.90;18.04;39.00;580.58;0.00;0;0.00;6.65;1;tripinfo_vf_Node.Main.740.S__Node.Minor.340.S_end__seg0__0.0 routing_vf_Node.Main.740.S__Node.Minor.340.S_end__seg0__0.0 fcd_vf_Node.Main.740.S__Node.Minor.340.S_end__seg0__0.0;DEFAULT_VEHTYPE;1.14;
vf_Node.Minor.280.N_end__Node.Main.740.N__seg0__0.0;19.00;Edge.Minor.N_arm.SB.280_1;5.10;17.80;0.79;60.00;Edge.Main.EB.620-740_1;112.00;16.97;41.00;640.57;0.00;0;0.00;3.81;1;tripinfo_vf_Node.Minor.280.N_end__Node.Main.740.N__seg0__0.0 routing_vf_Node.Minor.280.N_end__Node.Main.740.N__seg0__0.0 fcd_vf_Node.Minor.280.N_end__Node.Main.740.N__seg0__0.0;DEFAULT_VEHTYPE;1.07;
