time;loaded;inserted;walking;waitingForRide;riding;stopping;jammed;ended;arrived;teleports;discarded;duration
0.00;2195;0;0;0;0;0;0;0;0;0;0;0
1.00;2195;0;0;0;0;0;0;0;0;0;0;1
2.00;2195;2;2;0;0;0;0;0;0;0;0;1
3.00;2195;2;2;0;0;0;0;0;0;0;0;0
4.00;2195;4;4;0;0;0;0;0;0;0;0;0
5.00;2195;4;4;0;0;0;0;0;0;0;0;0
6.00;2195;6;6;0;0;0;0;0;0;0;0;0
7.00;2195;6;6;0;0;0;0;0;0;0;0;0
8.00;2195;6;6;0;0;0;0;0;0;0;0;0
9.00;2195;7;7;0;0;0;0;0;0;0;0;0
10.00;2195;8;8;0;0;0;0;0;0;0;0;0
11.00;2195;11;11;0;0;0;0;0;0;0;0;0
12.00;2195;14;14;0;0;0;0;0;0;0;0;0
13.00;2195;17;17;0;0;0;0;0;0;0;0;0
14.00;2195;17;17;0;0;0;0;0;0;0;0;0
15.00;2195;17;17;0;0;0;0;0;0;0;0;1
16.00;2195;18;18;0;0;0;0;0;0;0;0;0
17.00;2195;18;18;0;0;0;0;0;0;0;0;1
18.00;2195;21;21;0;0;0;0;0;0;0;0;1
19.00;2195;21;21;0;0;0;0;0;0;0;0;1
20.00;2195;23;23;0;0;0;0;0;0;0;0;1
21.00;2195;26;26;0;0;0;0;0;0;0;0;0
22.00;2195;27;27;0;0;0;0;0;0;0;0;0
23.00;2195;30;30;0;0;0;0;0;0;0;0;0
24.00;2195;32;32;0;0;0;0;0;0;0;0;0
25.00;2195;33;33;0;0;0;0;0;0;0;0;1
26.00;2195;34;34;0;0;0;0;0;0;0;0;2
27.00;2195;37;37;0;0;0;0;0;0;0;0;1
28.00;2195;39;39;0;0;0;0;0;0;0;0;0
29.00;2195;40;40;0;0;0;0;0;0;0;0;1
30.00;2195;40;40;0;0;0;0;0;0;0;0;1
31.00;2195;41;41;0;0;0;0;0;0;0;0;1
32.00;2195;43;43;0;0;0;0;0;0;0;0;0
33.00;2195;43;43;0;0;0;0;0;0;0;0;1
34.00;2195;43;43;0;0;0;0;0;0;0;0;0
35.00;2195;45;45;0;0;0;0;0;0;0;0;1
36.00;2195;48;48;0;0;0;0;0;0;0;0;1
37.00;2195;50;50;0;0;0;0;0;0;0;0;0
38.00;2195;50;50;0;0;0;0;0;0;0;0;0
39.00;2195;50;50;0;0;0;0;0;0;0;0;1
40.00;2195;50;50;0;0;0;0;0;0;0;0;0
41.00;2195;50;50;0;0;0;0;0;0;0;0;1
42.00;2195;50;50;0;0;0;0;0;0;0;0;0
43.00;2195;51;51;0;0;0;0;0;0;0;0;1
44.00;2195;52;52;0;0;0;0;0;0;0;0;0
45.00;2195;53;53;0;0;0;0;0;0;0;0;0
46.00;2195;58;58;0;0;0;0;0;0;0;0;1
