id;depart;type;speedFactor;duration;waitingTime;timeLoss;traveltime;walk_depart;departPos;arrival;arrivalPos;walk_duration;routeLength;walk_timeLoss;maxSpeed;walk_waitingTime
pf_PedEnd.Minor.540.S_end.E_sidewalk__Node.Main.740.S__0.1;20.00;DEFAULT_PEDTYPE;1.12;266.00;0.00;26.57;266.00;20.00;177.70;286.00;0.10;266.00;373.31;26.57;1.56;0.00
pf_PedEnd.Minor.200.S_end.W_sidewalk__Node.Main.0.S__0.0;18.00;DEFAULT_PEDTYPE;1.12;272.00;0.00;32.65;272.00;18.00;0.10;290.00;112.00;272.00;372.92;32.65;1.56;0.00
pf_PedEnd.Minor.200.S_end.W_sidewalk__Node.Main.0.S__0.2;21.00;DEFAULT_PEDTYPE;1.12;270.00;0.00;30.05;270.00;21.00;0.10;291.00;112.00;270.00;372.92;30.05;1.55;0.00
pf_PedEnd.Minor.200.S_end.W_sidewalk__Node.Main.0.S__0.1;18.00;DEFAULT_PEDTYPE;1.10;275.00;0.00;29.93;275.00;18.00;0.10;293.00;112.00;275.00;372.92;29.93;1.52;0.00
pf_PedEnd.Minor.540.S_end.W_sidewalk__Node.Main.740.S__0.0;6.00;DEFAULT_PEDTYPE;1.06;299.00;0.00;32.16;299.00;6.00;0.10;305.00;0.10;299.00;391.66;32.16;1.47;0.00
pf_PedEnd.Minor.540.N_end.E_sidewalk__Node.Main.740.N__0.0;27.00;DEFAULT_PEDTYPE;1.06;281.00;0.00;28.63;281.00;27.00;0.10;308.00;112.00;281.00;372.92;28.63;1.48;0.00
pf_PedEnd.Minor.200.S_end.E_sidewalk__Node.Main.0.S__0.0;6.00;DEFAULT_PEDTYPE;1.04;303.00;0.00;31.64;303.00;6.00;177.70;309.00;112.00;303.00;391.66;31.64;1.44;0.00
pf_PedEnd.Minor.540.S_end.E_sidewalk__Node.Main.740.S__0.2;31.00;DEFAULT_PEDTYPE;1.08;279.00;0.00;30.18;279.00;31.00;177.70;310.00;0.10;279.00;373.31;30.18;1.50;0.00
pf_PedEnd.Main.W_end.S_sidewalk__PedEnd.Minor.200.S_end.W_sidewalk__0.0;36.00;DEFAULT_PEDTYPE;1.13;283.00;0.00;46.10;283.00;36.00;112.00;319.00;0.10;283.00;372.92;46.10;1.57;0.00
pf_PedEnd.Minor.200.S_end.W_sidewalk__Node.Main.0.S__0.3;29.00;DEFAULT_PEDTYPE;1.00;300.00;0.00;32.81;300.00;29.00;0.10;329.00;112.00;300.00;372.92;32.81;1.40;0.00
pf_PedEnd.Minor.540.S_end.W_sidewalk__Node.Main.740.S__0.1;11.00;DEFAULT_PEDTYPE;0.98;321.00;0.00;34.42;321.00;11.00;0.10;332.00;0.10;321.00;391.66;34.42;1.37;0.00
