time;loaded;inserted;running;waiting;ended;arrived;collisions;teleports;halting;stopped;meanWaitingTime;meanTravelTime;meanSpeed;meanSpeedRelative;discarded;duration
0.00;0;0;0;0;0;0;0;0;0;0;-1.00;-1.00;-1.00;-1.00;0;0
1.00;3;2;2;1;0;0;0;0;0;0;1.00;-1.00;18.20;1.09;0;1
2.00;5;4;4;1;0;0;0;0;0;0;1.25;-1.00;16.78;1.01;0;1
3.00;6;6;6;0;0;0;0;0;0;0;1.33;-1.00;16.29;0.98;0;0
4.00;8;8;8;0;0;0;0;0;0;0;1.25;-1.00;16.14;0.97;0;0
5.00;11;11;11;0;0;0;0;0;0;0;1.18;-1.00;16.62;1.00;0;0
6.00;13;13;13;0;0;0;0;0;0;0;1.15;-1.00;16.35;0.98;0;0
7.00;15;15;15;0;0;0;0;0;0;0;1.13;-1.00;16.68;1.00;0;0
8.00;17;17;17;0;0;0;0;0;0;0;1.12;-1.00;16.90;1.01;0;0
9.00;17;17;17;0;0;0;0;0;0;0;1.12;-1.00;16.76;1.01;0;0
10.00;21;21;21;0;0;0;0;0;0;0;1.10;-1.00;16.51;0.99;0;0
11.00;21;21;21;0;0;0;0;0;0;0;1.10;-1.00;15.93;0.96;0;0
12.00;22;22;22;0;0;0;0;0;0;0;1.09;-1.00;15.30;0.92;0;0
13.00;25;25;25;0;0;0;0;0;1;0;1.08;-1.00;14.61;0.88;0;0
14.00;26;26;26;0;0;0;0;0;1;0;1.08;-1.00;13.60;0.82;0;0
15.00;28;28;28;0;0;0;0;0;1;0;1.07;-1.00;12.88;0.77;0;1
16.00;28;28;28;0;0;0;0;0;3;0;1.07;-1.00;11.97;0.72;0;0
17.00;31;31;31;0;0;0;0;0;3;0;1.06;-1.00;11.41;0.68;0;1
18.00;34;34;34;0;0;0;0;0;4;0;1.06;-1.00;11.19;0.67;0;1
19.00;36;36;36;0;0;0;0;0;5;0;1.06;-1.00;11.06;0.66;0;1
20.00;39;38;38;1;0;0;0;0;8;0;1.05;-1.00;10.94;0.66;0;1
