id;depart;departLane;departPos;departSpeed;departDelay;arrival;arrivalLane;arrivalPos;arrivalSpeed;duration;routeLength;waitingTime;waitingCount;stopTime;timeLoss;rerouteNo;devices;vType;speedFactor;vaporized
vf_Node.Main.0.N__Node.Minor.200.S_end__0.0;1.00;Edge.Main.EB.0-120_3;5.10;17.13;0.92;29.00;Edge.Minor.S_arm.SB.200_2;177.70;17.12;28.00;391.41;0.00;0;0.00;4.28;1;tripinfo_vf_Node.Main.0.N__Node.Minor.200.S_end__0.0 routing_vf_Node.Main.0.N__Node.Minor.200.S_end__0.0 fcd_vf_Node.Main.0.N__Node.Minor.200.S_end__0.0;DEFAULT_VEHTYPE;1.03;
vf_Node.Main.0.N__Node.Minor.200.S_end__0.1;3.00;Edge.Main.EB.0-120_3;5.10;12.09;1.36;33.00;Edge.Minor.S_arm.SB.200_2;177.70;16.87;30.00;391.41;0.00;0;0.00;5.88;1;tripinfo_vf_Node.Main.0.N__Node.Minor.200.S_end__0.1 routing_vf_Node.Main.0.N__Node.Minor.200.S_end__0.1 fcd_vf_Node.Main.0.N__Node.Minor.200.S_end__0.1;DEFAULT_VEHTYPE;1.03;
vf_Node.Minor.340.N_end__Node.Main.740.N__0.0;4.00;Edge.Minor.N_arm.SB.340_1;5.10;16.57;0.03;45.00;Edge.Main.EB.620-740_1;112.00;15.60;41.00;580.57;0.00;0;0.00;4.47;1;tripinfo_vf_Node.Minor.340.N_end__Node.Main.740.N__0.0 routing_vf_Node.Minor.340.N_end__Node.Main.740.N__0.0 fcd_vf_Node.Minor.340.N_end__Node.Main.740.N__0.0;DEFAULT_VEHTYPE;0.99;
vf_Node.Main.740.S__Node.Minor.400.S_end__0.0;7.00;Edge.Main.WB.740-620_1;5.10;16.71;0.42;45.00;Edge.Minor.S_arm.SB.400_1;180.90;15.67;38.00;520.58;0.00;0;0.00;5.46;1;tripinfo_vf_Node.Main.740.S__Node.Minor.400.S_end__0.0 routing_vf_Node.Main.740.S__Node.Minor.400.S_end__0.0 fcd_vf_Node.Main.740.S__Node.Minor.400.S_end__0.0;DEFAULT_VEHTYPE;1.00;
vf_Node.Main.740.S__Node.Main.0.S__0.0;5.00;Edge.Main.WB.740-620_1;5.10;16.71;0.32;51.00;Edge.Main.WB.120-0_1;112.00;16.50;46.00;735.89;0.00;0;0.00;1.60;1;tripinfo_vf_Node.Main.740.S__Node.Main.0.S__0.0 routing_vf_Node.Main.740.S__Node.Main.0.S__0.0 fcd_vf_Node.Main.740.S__Node.Main.0.S__0.0;DEFAULT_VEHTYPE;1.00;
vf_Node.Minor.460.N_end__Node.Minor.540.S_end__0.0;8.00;Edge.Minor.N_arm.SB.460_1;5.10;18.59;0.53;52.00;Edge.Minor.S_arm.SB.540_2;177.70;17.39;44.00;453.08;1.00;1;0.00;17.89;1;tripinfo_vf_Node.Minor.460.N_end__Node.Minor.540.S_end__0.0 routing_vf_Node.Minor.460.N_end__Node.Minor.540.S_end__0.0 fcd_vf_Node.Minor.460.N_end__Node.Minor.540.S_end__0.0;DEFAULT_VEHTYPE;1.12;
vf_Node.Main.0.N__Node.Main.740.N__0.0;10.00;Edge.Main.EB.0-120_1;5.10;18.33;0.33;52.00;Edge.Main.EB.620-740_1;112.00;18.30;42.00;735.89;0.00;0;0.00;1.50;1;tripinfo_vf_Node.Main.0.N__Node.Main.740.N__0.0 routing_vf_Node.Main.0.N__Node.Main.740.N__0.0 fcd_vf_Node.Main.0.N__Node.Main.740.N__0.0;DEFAULT_VEHTYPE;1.10;
vf_Node.Main.0.N__Node.Minor.200.N_end__0.0;27.00;Edge.Main.EB.0-120_1;5.10;18.50;0.76;53.00;Edge.Minor.N_arm.NB.200_1;177.70;17.34;26.00;373.44;0.00;0;0.00;3.94;1;tripinfo_vf_Node.Main.0.N__Node.Minor.200.N_end__0.0 routing_vf_Node.Main.0.N__Node.Minor.200.N_end__0.0 fcd_vf_Node.Main.0.N__Node.Minor.200.N_end__0.0;DEFAULT_VEHTYPE;1.11;
vf_Node.Main.740.S__Node.Minor.540.S_end__0.0;29.00;Edge.Main.WB.740-620_1;5.10;19.90;0.59;54.00;Edge.Minor.S_arm.SB.540_1;177.70;19.89;25.00;373.44;0.00;0;0.00;4.91;1;tripinfo_vf_Node.Main.740.S__Node.Minor.540.S_end__0.0 routing_vf_Node.Main.740.S__Node.Minor.540.S_end__0.0 fcd_vf_Node.Main.740.S__Node.Minor.540.S_end__0.0;DEFAULT_VEHTYPE;1.19;
vf_Node.Main.740.S__Node.Main.0.S__0.1;13.00;Edge.Main.WB.740-620_1;5.10;16.65;0.04;60.00;Edge.Main.WB.120-0_1;112.00;15.80;47.00;735.89;0.00;0;0.00;1.91;1;tripinfo_vf_Node.Main.740.S__Node.Main.0.S__0.1 routing_vf_Node.Main.740.S__Node.Main.0.S__0.1 fcd_vf_Node.Main.740.S__Node.Main.0.S__0.1;DEFAULT_VEHTYPE;1.00;
